Uphc,DMA,MHH Cons,MNHH Cons,Months,Years,Distribution Input,Mean Air Temperature,Annual sunshine,Maximum Temperature,Annual Precipitation,minimum air temperature
392.97,392.0872048,385.466,328.86,october,2018-19,1916.563281,10.2,124.2,14.3,54.2,6.2
401.4,346.172974,367.048,346.6006709,october,2017-18,1906.657876,12,83,15.2,46.2,8.9
,,,,,,,,,,,
442.38,271.2064193,480.7524827,306.0196747,november,2024-25,1911.09986,6.8,57.5,9.8,75.8,3.9
438.13,302.2899579,462.3185168,305.7238164,november,2023-24,1907.398473,7,77.2,10,87.2,4
409.22,331.2068805,453.9307043,319.0841916,november,2022-23,1890.512006,8.6,56.1,11.4,123.5,5.9
364.75,341.5752592,458.1718211,312.6360285,november,2021-22,1940.148406,7.1,62.2,10.3,34.5,3.8
396.7,325.1277503,457.1141,287.26,november,2020-21,1929.51861,8,57.5,11.1,53.8,4.9
378.1,376.4148124,404.962,317.56,november,2019-20,1928.784888,5.9,45.3,8.4,125.1,3.3
388.6,395.0141058,395.199,341.4572944,november,2018-19,1922.401971,7.6,62.9,10.6,62.5,4.6
385.98,351.2314391,370.653,336.7694587,november,2017-18,1912.274334,6.5,82,9.8,55,3.1
,,,,,,,,,,,
422.36,269.2210718,480.7524827,297.3516737,december,2024-25,1894.473014,6.6,28.2,9.1,86.3,4.1
429.68,320.741291,462.3185168,302.201763,december,2023-24,1916.537236,6.6,25.3,9.1,150.7,4.1
434.84,420.9571509,453.9307043,308.249142,december,2022-23,2008.348705,3.2,59.2,6.3,71.5,0
361.63,366.5833183,458.1718211,305.1787431,december,2021-22,1939.161063,5.9,28.2,8.4,86.4,3.4
380.62,344.8162434,457.1141,271.18,december,2020-21,1904.688675,4.5,47.6,7.1,126.6,1.9
407.13,385.1780826,404.962,306.21,december,2019-20,1911.562774,5.3,56.4,8.2,88.2,2.5
410.99,399.8539154,395.199,334.756672,december,2018-19,1910.482155,6.4,44.3,9.1,92.7,3.7
406.71,381.68261,370.653,322.6413662,december,2017-18,1936.732718,4.4,55.4,7.3,87.6,1.6
,,,,,,,,,,,
440.7,307.459344,472.26,301.7742017,january,2024-25,1969.797259,4.3,67.1,7.2,75.5,1.5
443.87,325.3522694,464.4521877,304.4196738,january,2023-24,1958.778963,4.8,77.8,7.9,76.7,1.7
439.78,400.2880351,454.6489467,313.8769235,january,2022-23,1992.169453,4.3,80.7,7.7,28.7,0.9
372.58,364.8193814,457.1653266,305.7805549,january,2021-22,1969.575955,2.7,39.4,5.4,124.5,0
395.13,378.7866614,459.7375,274.4,january,2020-21,1934.061935,6.1,54.7,8.8,64.5,3.4
415.15,382.8163971,404.866,309.33,january,2019-20,1924.151212,3.6,51.5,6.4,32.2,0.9
412.02,399.6128421,396.973,335.7220845,january,2018-19,1927.957546,4.8,54.1,7.6,82.6,2
409.08,377.0173859,371.653,329.5958995,january,2017-18,1950.764294,3.6,51.1,6.5,59,0.7
,,,,,,,,,,,
462.44,285.001869,482.9256271,305.500737,Febuary,2024-25,1952.277033,7.4,52.3,10.5,120.3,4.2
458.49,307.1022222,462.1419674,313.8832744,Febuary,2023-24,1938.8582,6.2,86.1,9.7,12.4,2.6
428.45,365.1004795,454.1013277,315.3174533,Febuary,2022-23,1966.263298,6.5,80.5,9.9,111.4,3
376.39,348.9745597,455.8489258,311.3440782,Febuary,2021-22,1962.691524,4.7,74.5,7.9,64.2,1.5
406.45,379.5149778,459.4838,285.66,Febuary,2020-21,1968.376454,6,79,9.3,162,2.7
402.94,362.9275795,406.189,325.27,Febuary,2019-20,1935.929724,6.3,118.1,11,38.5,1.7
415.66,397.5690304,396.298,342.6252048,Febuary,2018-19,1951.981949,2.5,96.6,5.5,37,-0.5
408.83,358.1748279,373.188,337.8245863,Febuary,2017-18,1948.258293,5.7,48.8,8.3,55.9,3.1
,,,,,,,,,,,
478.87,256.0447646,485.1575032,304.7355468,March,2024-25,1954.954962,7.6,90.9,11.1,96.5,4.1
447.22,301.5367917,465.6900264,312.6673974,March,2023-24,1924.598008,6.7,76.2,9.9,118.3,3.4
412.24,363.0778364,454.5301397,313.6474018,March,2022-23,1939.080878,7.4,164,11.9,41.2,2.8
378,336.5810194,454.0769321,313.7264757,March,2021-22,1953.671029,7,105.2,10.7,45,3.3
406.56,341.203482,460.3954184,283.94,March,2020-21,1953.590241,6.3,150.6,10.4,44.4,2.1
415.52,363.0758105,405.114,285.77,March,2019-20,1964.879976,7.6,130.7,11.3,83.8,3.9
408.87,368.0070771,395.817,342.5425104,March,2018-19,1933.581688,4.5,75.5,7.8,105.1,1.1
398.36,348.9243789,376.552,337.2566157,March,2017-18,1940.535137,8.3,124.7,12.1,66.8,4.4
